"ID","Last Name","First Name","Grade Level","Enrollment Year","Graduation Year","Courses as a List","Course Grades as a List","Future Decision","SAT","ACT","Counselor Name"
"100000","Ahmed","Sara","11","2024","2028","[""AP English III Language and Composition"", ""Precalculus"", ""AP Physics I"", ""AP US History-11th grade only"", ""Chinese II"", ""Spanish I"", ""French I"", ""Floral Design (Fine Art Credit)""]","[74, 88, 92, 92, 82, 87, 95, 92]","4 year college","","","Sarah Martinez"
"100001","Martin","Sophia","9","2026","2030","[""English I"", ""Algebraic Reasoning"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Tennis"", ""PE Swimming"", ""Oral Interpretation III""]","[74, 62, 78, 58, 57, 77, 63, 80]","4 year college","","","James Walker"
"100002","Anderson","William","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Medical Terminology"", ""Professional Communications (sem)""]","[73, 79, 63, 61, 70, 68]","4 year college","","20","Priya Patel"
"100003","Reddy","Ananya","12","2023","2027","[""English IV"", ""Accounting II"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Technical Theater I""]","[62, 76, 71, 68, 76, 70]","workforce","","","Daniel Kim"
"100004","Adams","Naomi","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Lifetime Fitness & Wellness Pursuits (Girls)"", ""Jazz Band IV"", ""AP Spanish V Literature and Culture"", ""Interpersonal Studies (sem .5 credit)""]","[91, 74, 84, 84, 91, 86, 84, 89]","2 year college","925","13","Melissa Johnson"
"100005","Carter","Naomi","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Spanish III KAP"", ""Human Growth & Development"", ""Lifetime Nutrition & Wellness (sem .5 credit)""]","[91, 78, 76, 83, 77, 81, 72, 91]","4 year college","929","","Robert Nguyen"
"100006","Coleman","Quinn","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Professional Communications (sem)""]","[60, 77, 71, 73, 61, 64]","workforce","955","15","Emily Garcia"
"100007","Reed","Riley","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""French II"", ""Technical Theater II""]","[72, 90, 89, 79, 90, 79]","4 year college","","16","Michael Thompson"
"100008","Williams","Liam","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Biology"", ""AP US History-11th grade only"", ""Social Media Marketing (sem)"", ""Dance II"", ""Computer Science - Unity Game Development KAP"", ""Spanish III KAP""]","[90, 89, 96, 85, 94, 92, 82, 85]","4 year college","1171","22","Sarah Martinez"
"100009","Rivera","Jordan","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Journalism"", ""PE Soccer-Boys"", ""Drawing I""]","[71, 71, 62, 68, 57, 61, 68, 56]","4 year college","867","19","James Walker"
